timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,25.171938969233736,1.2743362831858407,0.952443857331572,0.9107142857142857,0.910828025477707,0.8699551569506725,1.2516556291390728,28.37,1016.36,38.868,0.8582670497935
1,25.171938969233736,1.2212389380530972,0.9505603164139748,0.9107142857142857,0.910828025477707,0.8699551569506725,1.3311258278145695,28.37,1016.35,38.775,0.8707729144225882
2,25.303344710122815,1.2035398230088494,0.9381912817176316,0.9107142857142857,0.910828025477707,0.8699551569506725,1.3245033112582782,28.38,1016.33,38.723,0.8594580846541804
3,25.247010677978096,1.2035398230088494,0.9474375821287779,0.9087301587301587,0.9087048832271762,0.8677130044843049,1.2847682119205297,28.38,1016.35,38.666,0.8481432523378617
4,25.322128702182283,1.238938053097345,0.9431000654022235,0.9087301587301587,0.9087048832271762,0.8654708520179372,1.2715231788079469,28.39,1016.34,38.601,0.8380194528424828
5,25.19070269813551,1.2035398230088494,0.9406392694063928,0.9087301587301587,0.9065817409766455,0.8654708520179372,1.2913907284768213,28.41,1016.36,38.548,0.8100301142107201
6,25.153177970816444,1.1946902654867255,0.9431000654022235,0.9067460317460317,0.9065817409766455,0.8677130044843049,1.2715231788079469,28.42,1016.36,38.489,0.8088390781784235
7,25.19070269813551,1.1946902654867255,0.943717277486911,0.9067460317460317,0.9087048832271762,0.8654708520179372,1.2649006622516556,28.42,1016.35,38.453,0.8094345961981009
8,25.303344710122815,1.2123893805309733,0.9381912817176316,0.9067460317460317,0.9065817409766455,0.8654708520179372,1.2317880794701987,28.42,1016.38,38.424,0.8100301142107201
9,25.265785739179535,1.2123893805309733,0.9406392694063928,1.0277777777777777,0.970276008492569,0.8721973094170402,1.218543046357616,28.42,1016.38,38.441,0.8124121861906185
10,25.171938969233736,1.2123893805309733,0.9461942257217848,1.4523809523809526,1.178343949044586,0.9573991031390134,1.5695364238410594,28.42,1016.38,38.729,0.8308732402059004
