timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.26609641352485,1.1101694915254237,1.3032355154251316,1.1176470588235294,1.1859838274932615,1.2147435897435899,1.0,30.2,1015.21,35.017,1.9136653235206318
1,26.247108228666548,1.11864406779661,1.297378277153558,1.1176470588235294,1.1805929919137466,1.2147435897435899,1.0,30.17,1015.21,34.983,1.8993385743030609
2,26.247108228666548,1.0677966101694916,1.3012772351615327,1.1176470588235294,1.1805929919137466,1.2115384615384615,1.0080321285140563,30.16,1015.19,34.936,1.8194955896232081
3,26.17120630986119,1.11864406779661,1.291573452647278,1.1176470588235294,1.1805929919137466,1.2115384615384615,1.0160642570281126,30.15,1015.2,34.894,1.7436925737026043
4,26.190174252973975,1.1271186440677965,1.28486646884273,1.1176470588235294,1.1778975741239892,1.2083333333333335,1.0080321285140563,30.15,1015.18,34.853,1.6699382241315155
5,26.133285237884536,1.1271186440677965,1.2839140103780577,1.1154684095860568,1.1778975741239892,1.2051282051282053,1.0160642570281126,30.15,1015.18,34.819,1.6228173567339488
6,26.190174252973975,1.0932203389830508,1.263311451495259,1.1176470588235294,1.1778975741239892,1.2051282051282053,1.0160642570281126,30.15,1015.19,34.801,1.5685258907078046
7,26.01963744057491,1.0932203389830508,1.2791728212703104,1.1154684095860568,1.1752021563342319,1.2051282051282053,1.0040160642570282,30.15,1015.19,34.779,1.526526808688981
8,26.190174252973975,1.1016949152542372,1.2772861356932155,1.113289760348584,1.169811320754717,1.201923076923077,0.995983935742972,30.15,1015.21,34.75,1.4968201285969094
9,26.190174252973975,1.1101694915254237,1.2697947214076246,1.113289760348584,1.1671159029649596,1.201923076923077,1.0040160642570282,30.15,1015.2,34.732,1.4630159629688986
10,26.0764400200718,1.0932203389830508,1.2697947214076246,1.113289760348584,1.1671159029649596,1.198717948717949,1.0160642570281126,30.16,1015.2,34.718,1.433309261048097
11,26.11433202290391,1.11864406779661,1.2623906705539358,1.1111111111111114,1.1644204851752022,1.198717948717949,1.0080321285140563,30.16,1015.2,34.706,1.4240899376862932
12,26.228125169152122,1.11864406779661,1.2478386167146975,1.1089324618736385,1.1644204851752022,1.1955128205128205,1.0040160642570282,30.16,1015.19,34.706,1.396431961700563
13,26.247108228666548,1.1016949152542372,1.2578068264342774,1.1089324618736385,1.1617250673854447,1.1923076923076923,0.9879518072289157,30.16,1015.19,34.695,1.3831151552916239
14,26.17120630986119,1.0847457627118644,1.2541636495293265,1.1089324618736385,1.1590296495956873,1.1923076923076923,0.9718875502008032,30.16,1015.18,34.689,1.3697983468309265
15,26.17120630986119,1.1355932203389831,1.2389127324749643,1.1045751633986929,1.1590296495956873,1.1891025641025643,0.9678714859437751,30.18,1015.21,34.668,1.3124336100061516
