,Temperature (oC),VOC in Air,Alcohol in Air,Date
0,22.29016955185,3.5465812964372145,2.234420739023419,2022-04-02 20:25:30.864644
0,22.271342723659984,3.5465812964372145,2.1891445045022593,2022-04-02 20:25:33.881486
0,22.29016955185,3.643482424755171,2.3136784450537813,2022-04-02 20:25:35.880824
0,22.29016955185,3.643482424755171,2.214931672557004,2022-04-02 20:25:37.880326
0,22.30899277364091,3.643482424755171,2.218170956057856,2022-04-02 20:25:39.879867
0,22.327812432462224,3.6241021990915794,2.218170956057856,2022-04-02 20:25:41.880110
0,22.252512245581272,3.6241021990915794,2.208463731963721,2022-04-02 20:25:43.880835
0,22.29016955185,3.662862650418763,2.20523506325773,2022-04-02 20:25:45.880509
0,22.252512245581272,3.662862650418763,2.2020099212242736,2022-04-02 20:25:47.879914
0,22.30899277364091,3.643482424755171,2.218170956057856,2022-04-02 20:25:49.879992
0,22.271342723659984,3.6047219734279885,2.3170268183528098,2022-04-02 20:25:51.883387
0,22.29016955185,3.6241021990915794,2.214931672557004,2022-04-02 20:25:53.880123
0,22.29016955185,3.6241021990915794,2.214931672557004,2022-04-02 20:25:55.881810
0,22.29016955185,3.6047219734279885,2.214931672557004,2022-04-02 20:25:57.880232
0,22.271342723659984,3.352779039801301,2.2279101293261903,2022-04-02 20:25:59.879918
0,22.30899277364091,3.4109197167920753,2.2770907996469276,2022-04-02 20:26:01.879497
0,22.271342723659984,3.469060393782849,2.2770907996469276,2022-04-02 20:26:03.879218
0,22.29016955185,3.527201070773623,2.2903437725951474,2022-04-02 20:26:05.879853
0,22.271342723659984,3.5078208451100314,2.2969923228422005,2022-04-02 20:26:07.879374
0,22.29016955185,3.4109197167920753,2.244213512520157,2022-04-02 20:26:09.879462
0,22.29016955185,3.3915394911284835,2.234420739023419,2022-04-02 20:26:11.879858
0,22.30899277364091,3.3721592654648926,2.221413789458435,2022-04-02 20:26:13.879585
0,22.271342723659984,3.352779039801301,2.221413789458435,2022-04-02 20:26:15.879784
0,22.30899277364091,3.3721592654648926,2.2279101293261903,2022-04-02 20:26:17.879380
0,22.271342723659984,3.3721592654648926,2.221413789458435,2022-04-02 20:26:19.880983
0,22.271342723659984,3.3915394911284835,2.218170956057856,2022-04-02 20:26:21.880099
0,22.23367807406379,3.3915394911284835,2.218170956057856,2022-04-02 20:26:23.880389
0,22.252512245581272,3.4109197167920753,2.2540386588218433,2022-04-02 20:26:25.879716
